case_name,seed,method_name,utility_type,w,a,k0,revenue,offline_revenue,revenue_ratio,runtime_sec,accept_rate,accepted_count,n,m,inventory_total,inventory_used_total,inventory_utilization,resource_used,resource_left,update_points
case_standard,420,Approach2.2,exp,10.0,0.1,50,19370.003021142802,19722.894011688142,0.9821075451535555,0.4607579708099365,0.3487437185929648,3470,10000,10,10000.0,9834.0,0.9834,"[1000.0, 1000.0, 979.0, 987.0, 945.0, 977.0, 1000.0, 952.0, 994.0, 1000.0]","[0.0, 0.0, 21.0, 13.0, 55.0, 23.0, 0.0, 48.0, 6.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.1,log,1.0,,100,14669.880548773346,17804.001151804638,0.8239653785512357,0.028619050979614258,0.2673737373737374,2647,10000,10,8500.0,6991.0,0.8224705882352941,"[500.0, 500.0, 283.0, 777.0, 797.0, 742.0, 918.0, 746.0, 728.0, 1000.0]","[0.0, 0.0, 217.0, 223.0, 203.0, 258.0, 82.0, 254.0, 272.0, 0.0]",
case_scarce,420,Approach2.1,log,5.0,,100,11559.81770023124,17804.001151804638,0.6492820126030784,0.04045581817626953,0.21141414141414142,2093,10000,10,8500.0,5146.0,0.6054117647058823,"[188.0, 81.0, 155.0, 463.0, 514.0, 728.0, 828.0, 576.0, 741.0, 872.0]","[312.0, 419.0, 345.0, 537.0, 486.0, 272.0, 172.0, 424.0, 259.0, 128.0]",
case_scarce,420,Approach2.1,log,10.0,,100,8878.186645948348,17804.001151804638,0.4986624394285912,0.03256511688232422,0.1709090909090909,1692,10000,10,8500.0,3816.0,0.44894117647058823,"[0.0, 0.0, 10.0, 336.0, 461.0, 557.0, 616.0, 502.0, 670.0, 664.0]","[500.0, 500.0, 490.0, 664.0, 539.0, 443.0, 384.0, 498.0, 330.0, 336.0]",
case_scarce,420,Approach2.1,log,20.0,,100,2498.9747079080207,17804.001151804638,0.14036028680298762,0.026649951934814453,0.059494949494949496,589,10000,10,8500.0,974.0,0.11458823529411764,"[0.0, 0.0, 0.0, 8.0, 29.0, 108.0, 174.0, 187.0, 182.0, 286.0]","[500.0, 500.0, 500.0, 992.0, 971.0, 892.0, 826.0, 813.0, 818.0, 714.0]",
case_scarce,420,Approach2.1,exp,1.0,0.01,100,14527.392365722835,17804.001151804638,0.8159622234269693,0.06961989402770996,0.26505050505050504,2624,10000,10,8500.0,6940.0,0.8164705882352942,"[500.0, 500.0, 291.0, 782.0, 817.0, 710.0, 882.0, 751.0, 707.0, 1000.0]","[0.0, 0.0, 209.0, 218.0, 183.0, 290.0, 118.0, 249.0, 293.0, 0.0]",
case_scarce,420,Approach2.1,exp,1.0,0.05,100,14527.392365722835,17804.001151804638,0.8159622234269693,0.032572031021118164,0.26505050505050504,2624,10000,10,8500.0,6940.0,0.8164705882352942,"[500.0, 500.0, 291.0, 782.0, 817.0, 710.0, 882.0, 751.0, 707.0, 1000.0]","[0.0, 0.0, 209.0, 218.0, 183.0, 290.0, 118.0, 249.0, 293.0, 0.0]",
case_scarce,420,Approach2.1,exp,1.0,0.1,100,14527.392365722835,17804.001151804638,0.8159622234269693,0.030076026916503906,0.26505050505050504,2624,10000,10,8500.0,6940.0,0.8164705882352942,"[500.0, 500.0, 291.0, 782.0, 817.0, 710.0, 882.0, 751.0, 707.0, 1000.0]","[0.0, 0.0, 209.0, 218.0, 183.0, 290.0, 118.0, 249.0, 293.0, 0.0]",
case_scarce,420,Approach2.1,exp,5.0,0.01,100,14526.05571086821,17804.001151804638,0.8158871473334987,0.02416205406188965,0.26545454545454544,2628,10000,10,8500.0,6941.0,0.8165882352941176,"[500.0, 500.0, 292.0, 782.0, 814.0, 713.0, 887.0, 749.0, 704.0, 1000.0]","[0.0, 0.0, 208.0, 218.0, 186.0, 287.0, 113.0, 251.0, 296.0, 0.0]",
case_scarce,420,Approach2.1,exp,5.0,0.05,100,14519.519057781694,17804.001151804638,0.8155200021602995,0.023540973663330078,0.26545454545454544,2628,10000,10,8500.0,6938.0,0.8162352941176471,"[500.0, 500.0, 291.0, 781.0, 816.0, 712.0, 886.0, 748.0, 704.0, 1000.0]","[0.0, 0.0, 209.0, 219.0, 184.0, 288.0, 114.0, 252.0, 296.0, 0.0]",
case_scarce,420,Approach2.1,exp,5.0,0.1,100,14523.058603290243,17804.001151804638,0.8157188083431552,0.02358412742614746,0.26565656565656565,2630,10000,10,8500.0,6940.0,0.8164705882352942,"[500.0, 500.0, 293.0, 781.0, 816.0, 712.0, 885.0, 748.0, 705.0, 1000.0]","[0.0, 0.0, 207.0, 219.0, 184.0, 288.0, 115.0, 252.0, 295.0, 0.0]",
case_scarce,420,Approach2.1,exp,10.0,0.01,100,14517.747458025042,17804.001151804638,0.8154204964513555,0.024007081985473633,0.26545454545454544,2628,10000,10,8500.0,6937.0,0.8161176470588235,"[500.0, 500.0, 291.0, 781.0, 815.0, 712.0, 886.0, 748.0, 704.0, 1000.0]","[0.0, 0.0, 209.0, 219.0, 185.0, 288.0, 114.0, 252.0, 296.0, 0.0]",
